# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-16 15:37:32.511
time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,011013;-0,1170;-0,0330;0,1775;0,22
0,023110;-0,1850;0,0199;0,1400;0,23
0,024061;-0,1599;0,0224;0,0602;0,17
0,037888;-0,1357;-0,0086;-0,0098;0,14
0,049142;-0,0406;-0,0252;-0,0084;0,05
0,062640;0,0028;-0,1231;-0,0176;0,12
0,079417;0,0426;-0,1016;-0,0633;0,13
0,079539;0,0181;-0,0992;-0,0751;0,13
0,088717;0,0584;-0,0969;-0,1154;0,16
0,103950;0,1030;-0,1209;-0,2702;0,31
0,105716;0,1220;-0,1448;-0,2081;0,28
0,113753;0,0433;-0,1088;-0,0439;0,13
0,130183;-0,0675;0,0349;0,1233;0,14
0,138312;-0,0433;0,0970;0,0360;0,11
0,146418;-0,0126;0,0872;-0,0820;0,12
0,155186;-0,0082;0,0655;-0,1884;0,20
0,163633;0,0105;0,0126;-0,2422;0,24
0,179864;0,0555;-0,0883;-0,2804;0,30
0,189235;0,0151;-0,0524;-0,1652;0,17
0,195390;-0,0248;-0,0045;-0,0004;0,03
0,204606;-0,0410;0,0675;0,1734;0,19
0,213449;-0,0077;0,0916;0,2539;0,27
0,228335;0,1031;0,0484;0,1229;0,17
0,238505;0,1216;-0,0357;0,0122;0,13
0,245128;0,1048;-0,0431;-0,0455;0,12
0,254621;0,0696;-0,0291;-0,0622;0,10
0,264739;0,0111;-0,0605;-0,0430;0,08
0,279847;-0,0145;-0,0827;-0,1367;0,16
0,289397;-0,0368;-0,0782;-0,1870;0,21
0,293268;-0,0835;-0,0545;-0,2016;0,22
0,304386;-0,0757;-0,0307;-0,1670;0,19
0,313949;-0,0590;0,0005;-0,0572;0,08
0,329405;0,0528;-0,1262;0,0275;0,14
0,338999;0,1438;-0,2005;-0,0419;0,25
0,356072;0,1433;-0,0547;-0,2238;0,27
0,359397;0,0821;-0,0549;-0,1314;0,16
0,371405;-0,0311;0,0863;0,0771;0,12
0,382399;0,0206;0,0504;0,1231;0,13
0,385551;0,0840;-0,0983;0,0198;0,13
0,396448;0,1236;-0,1897;-0,1232;0,26
0,407000;0,0466;-0,1757;-0,1797;0,26
0,420756;-0,1383;-0,0806;-0,1815;0,24
0,431122;-0,1254;-0,0665;-0,2154;0,26
0,434349;-0,0274;-0,0835;-0,2756;0,29
0,447659;0,0483;-0,1221;-0,2762;0,31
0,463211;0,0205;-0,1509;-0,0582;0,16
0,472739;-0,0634;-0,1292;0,0725;0,16
0,473303;-0,0325;-0,1411;0,1152;0,19
0,488360;-0,0022;-0,2035;0,0251;0,21
0,497874;0,0634;-0,2563;-0,0864;0,28
