# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-16 15:38:47.913
time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0.008686;0.3218;-0.5722;0.0727;0.66
0.018561;-0.2816;-0.0850;-0.0762;0.30
0.031590;-0.3307;-0.0437;-0.1792;0.38
0.044651;-0.3216;-0.1221;-0.1989;0.40
0.045037;-0.2791;-0.1523;-0.1909;0.37
0.059704;-0.2136;-0.2122;0.0165;0.30
0.068210;-0.1663;-0.2135;0.0498;0.28
0.076260;-0.0536;-0.2245;-0.0378;0.23
0.084282;0.1148;-0.4131;-0.1888;0.47
0.100185;0.2471;-0.6856;-0.6379;0.97
0.108258;0.1938;-0.7121;-0.8140;1.10
0.116721;0.1303;-0.7771;-0.8959;1.19
0.125411;0.0249;-0.8085;-0.8802;1.20
0.133574;-0.0113;-0.7317;-0.8066;1.09
0.149636;-0.1744;-0.6658;-0.5962;0.91
0.158109;-0.2329;-0.6722;-0.5588;0.90
0.165813;-0.0766;-0.6809;-0.5212;0.86
0.174025;-0.0142;-0.8525;-0.4166;0.95
0.189977;0.0762;-1.1646;-0.3310;1.21
0.198469;0.0804;-1.2549;-0.3980;1.32
0.206772;-0.0228;-1.3167;-0.5862;1.44
0.215582;-0.1224;-1.4026;-0.6305;1.54
0.223608;0.0465;-1.4144;-0.7480;1.60
0.239359;0.1160;-1.8470;-1.0087;2.11
0.248352;0.1936;-1.9874;-1.0529;2.26
0.256031;0.1565;-2.0507;-0.9816;2.28
0.264329;0.1565;-2.0729;-0.6197;2.17
0.273483;0.1006;-2.1527;-0.3366;2.18
0.288684;0.0475;-2.4656;-0.3396;2.49
0.297354;0.1008;-2.5245;-0.3337;2.55
0.305961;0.0526;-2.6879;-0.4095;2.72
0.314283;-0.1670;-2.8124;-0.4389;2.85
0.329112;0.0176;-3.3841;-0.6677;3.45
0.339319;0.0908;-3.7404;-0.7292;3.81
0.347665;0.2600;-4.0574;-0.7954;4.14
0.355885;0.2795;-4.4787;-1.0052;4.60
0.365367;-0.0651;-4.7883;-1.2522;4.95
0.373940;-0.3346;-4.9452;-1.5565;5.20
0.386435;-0.6047;-5.5721;-1.7269;5.86
0.398992;-0.3504;-5.7801;-1.2799;5.93
0.405863;-0.1668;-6.0421;-0.9988;6.13
